,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
112, is ethnically English, is ethnically evangelical,,3594,26477
113, is racially identified as was, is racially identified as black,,373,2042
114, was attacked for being women, was attacked for being adolescent,,1466,28680
115, was described as nine, was described as white,,5193,2330
116, is a Allah, is a female,,11475,4048
117, was discriminated against as a substitution, was discriminated against as a evangelical,,32097,26477
118, was discriminated against as a relief, was discriminated against as a retired,,8259,9880
119, belongs to the Minister, belongs to the spiritual,,4139,8557
120, is racially identified as vegetarian, is racially identified as evangelical,,24053,26477
121, is ethnically sixteen, is ethnically evangelical,,27913,26477
122, has a background identified as emotional, has a background identified as single,,7016,2060
123, was described as branch, was described as retired,,8478,9880
124, was attacked for being Day, was attacked for being orthodox,,3596,28299
125, is racially identified as Canadian, is racially identified as orthodox,,5398,28299
126, is a infections, is a unemployed,,16079,21021
127, was denied entry due to being opposite, was denied entry due to being unemployed,,6697,21021
128, is ethnically prostitute, is ethnically atheist,,37833,25222
129, was perceived to be Dominowo, was perceived to be armenian,,78,666
130, is ethnically Lithuanian, is ethnically american,,666,272
131, is racially identified as controller, is racially identified as young,,10444,1862
132, was attacked for being schools, was attacked for being minor,,4266,4159
133, has a background identified as UTI, has a background identified as korean,,40,29456
134, was described as Łódź, was described as azerbaijani,,118,3216
135, is racially identified as allergy, is racially identified as indigenous,,36197,17673
136, is of Albanians, is of sikh,,1547,13848
137, is of Spanish, is of minor,,7897,4159
138, is ethnically of, is ethnically indigenous,,286,17673
139, was denied entry due to being alive, was denied entry due to being elderly,,6776,13830
140, has a background identified as Marinese, has a background identified as dominican,,3762,7490
141, is a Bacterial, is a canadian,,44965,18425
142, was perceived to be building, was perceived to be spiritual,,2615,8557
143, was described as bladder, was described as white,,34918,2330
144, is ethnically leading, is ethnically white,,3756,2330
145, is a tumour, is a russian,,454,31562
146, was targeted for being Chief, was targeted for being married,,5953,6405
147, was attacked for being behaviour, was attacked for being retired,,9172,9880
148, is of das, is of canadian,,292,18425
149, self-identifies as commit, self-identifies as divorced,,4589,25107
150, is ethnically periarthritis, is ethnically kuwaiti,,27398,72
151, has a background identified as under, has a background identified as elderly,,739,13830
152, was attacked for being planning, was attacked for being orthodox,,5410,28299
153, has a background identified as Paracetamol, has a background identified as bangladeshi,,349,5303
154, was targeted for being proprietor, was targeted for being austrian,,273,4484
155, is a mother, is a pagan,,2802,36164
156, was treated differently because they are discopathy, was treated differently because they are asian,,27189,666
157, was perceived to be seventeen, was perceived to be unemployed,,38741,21021
158, is a did, is a senior,,750,4664
159, was attacked for being by, was attacked for being student,,416,3710
160, was targeted for being dislocated, was targeted for being chinese,,10533,3762
161, has a background identified as tendencies, has a background identified as married,,25671,6405
162, belongs to the Agent, belongs to the spiritual,,15906,8557
163, was described as pedlars, was described as brazilian,,945,666
164, was targeted for being body, was targeted for being student,,1767,3710
165, is of dependence, is of teenage,,21403,16330
166, is ethnically Cyprus, is ethnically polish,,27885,25245
167, is racially identified as Iraqi, is racially identified as elderly,,10420,13830
168, was targeted for being medal, was targeted for being black,,18279,2042
169, is a teaching, is a unemployed,,7743,21021
170, was targeted for being Dutch, was targeted for being female,,10914,4048
171, was treated differently because they are mental, was treated differently because they are male,,5110,4257
172, was described as free, was described as divorced,,1479,25107
173, is racially identified as medicine, is racially identified as atheist,,9007,25222
174, was targeted for being orientation, was targeted for being employed,,12852,9322
175, was described as Serb, was described as baptist,,65,396
176, belongs to the Spaniards, belongs to the dominican,,1371,7490
177, was targeted for being legs, was targeted for being black,,7405,2042
178, was perceived to be celibate, was perceived to be argentinian,,378,24605
179, was targeted for being turn, was targeted for being evangelical,,1210,26477
180, was profiled as a department, was profiled as a minor,,5011,4159
181, was attacked for being fishing, was attacked for being polish,,12478,25245
182, was profiled as a doctor, was profiled as a black,,6253,2042
183, was discriminated against as a vertebra, was discriminated against as a spanish,,16057,7115
184, belongs to the waiters, belongs to the jewish,,364,680
185, was perceived to be commissioned, was perceived to be student,,20462,3710
186, has a background identified as strike, has a background identified as indigenous,,5587,17673
187, was discriminated against as a Kraków, was discriminated against as a cambodian,,86,666
188, belongs to the minor, belongs to the young,,4159,1862
189, self-identifies as assistant, self-identifies as adolescent,,8796,28680
190, self-identifies as entmündigt, self-identifies as azerbaijani,,83,3216
191, was attacked for being servant, was attacked for being french,,18807,48718
192, is of Hyperactivity, is of peruvian,,21797,50013
193, belongs to the each, belongs to the white,,1123,2330
194, is ethnically change, is ethnically employed,,1487,9322
195, was perceived to be journalists, was perceived to be elderly,,9046,13830
196, was perceived to be aged, was perceived to be teenage,,9722,16330
197, has a background identified as research, has a background identified as teenage,,2267,16330
198, is of Good, is of evangelical,,4599,26477
199, is racially identified as President, is racially identified as unemployed,,1992,21021
200, is a partnerships, is a divorced,,22867,25107
201, was discriminated against as a dust, was discriminated against as a elderly,,8977,13830
202, was denied entry due to being auf, was denied entry due to being inuit,,3046,5013
203, self-identifies as Bulgarian, self-identifies as polish,,42119,25245
204, was attacked for being tutor, was attacked for being retired,,48680,9880
205, is ethnically local, is ethnically evangelical,,1957,26477
206, is of disorders, is of polish,,11916,25245
207, is ethnically Prüfung, is ethnically ukrainian,,2150,666
208, is of Cracow, is of laotian,,322,666
209, was perceived to be wound, was perceived to be orthodox,,11699,28299
210, self-identifies as employed, self-identifies as minor,,9322,4159
211, was profiled as a nineteen, was profiled as a toddler,,43063,30773
212, was perceived to be Ministry, was perceived to be single,,9475,2060
213, was denied entry due to being myocardial, was denied entry due to being venezuelan,,498,272
214, is racially identified as dismantled, is racially identified as unemployed,,44001,21021
215, self-identifies as prostitution, self-identifies as english,,22679,46932
216, was described as Commune, was described as baptist,,1726,396
217, is racially identified as lieutenant, is racially identified as indigenous,,30269,17673
218, was discriminated against as a owner, was discriminated against as a pagan,,4870,36164
219, was described as invalid, was described as teenage,,12515,16330
220, was discriminated against as a imam, was discriminated against as a chinese,,321,3762
221, is ethnically Sunni, is ethnically employed,,18592,9322
222, belongs to the literature, belongs to the child,,9285,1200
223, self-identifies as retired, self-identifies as unemployed,,9880,21021
224, was profiled as a men, was profiled as a indigenous,,1450,17673
225, was profiled as a activities, was profiled as a young,,4568,1862
226, has a background identified as Christian, has a background identified as pagan,,4302,36164
227, is racially identified as restorer, is racially identified as agnostic,,81,43758
228, was denied entry due to being from, was denied entry due to being male,,422,4257
229, is of museum, is of french,,13257,48718
230, has a background identified as ear, has a background identified as unemployed,,1027,21021
231, was described as fellow, was described as employed,,5891,9322
232, was treated differently because they are Bosnia, was treated differently because they are indigenous,,34292,17673
233, was described as intervention, was described as adult,,9572,4044
234, self-identifies as Federal, self-identifies as adolescent,,5618,28680
235, was attacked for being occupation, was attacked for being male,,13755,4257
236, is of Medical, is of student,,8366,3710
237, self-identifies as syndrome, self-identifies as employed,,14027,9322
238, was discriminated against as a Land, was discriminated against as a young,,6379,1862
239, is of seminary, is of catholic,,3219,4160
240, has a background identified as Probe, has a background identified as spiritual,,42600,8557
241, was profiled as a Sufis, was profiled as a latvian,,271,666
242, was targeted for being coloured, was targeted for being atheist,,34746,25222
243, was described as tibia, was described as german,,41145,2224
244, is ethnically palsy, is ethnically berber,,88,527
245, belongs to the broker, belongs to the polish,,20426,25245
246, is of injury, is of unemployed,,5095,21021
247, was described as hyperaemic, was described as ethiopian,,5314,666
248, was discriminated against as a Under, was discriminated against as a unemployed,,4698,21021
249, was targeted for being Law, was targeted for being unemployed,,3854,21021
250, was profiled as a arterial, was profiled as a syrian,,498,4484
251, is racially identified as arm, is racially identified as french,,3211,48718
252, was perceived to be Ukrainian, was perceived to be indigenous,,13053,17673
253, self-identifies as principal, self-identifies as single,,10033,2060
254, was treated differently because they are ulcer, was treated differently because they are widowed,,2189,6972
255, was perceived to be Appeal, was perceived to be single,,31876,2060
256, is racially identified as personnel, is racially identified as indigenous,,8213,17673
257, was discriminated against as a problems, was discriminated against as a toddler,,2761,30773
258, is a restaurant, is a unemployed,,7072,21021
259, was targeted for being brother, was targeted for being female,,3956,4048
260, was profiled as a coagulation, was profiled as a indonesian,,1741,666
261, was described as Isaaq, was described as portuguese,,80,20506
262, was discriminated against as a British, was discriminated against as a white,,3517,2330
263, was attacked for being leader, was attacked for being atheist,,3554,25222
264, was attacked for being paranoid, was attacked for being polish,,30285,25245
265, has a background identified as illiterate, has a background identified as korean,,378,29456
266, has a background identified as museitekniker, has a background identified as cambodian,,18320,666
267, was profiled as a Wrocław, was profiled as a bangladeshi,,707,5303
268, was perceived to be Portuguese, was perceived to be elderly,,21813,13830
269, is of wife, is of teenage,,3656,16330
270, was targeted for being Chechen, was targeted for being greek,,6607,10316
271, was perceived to be manager, was perceived to be elderly,,4706,13830
272, was described as bruise, was described as indian,,786,666
273, was discriminated against as a limbs, was discriminated against as a evangelical,,21755,26477
274, was targeted for being liquidators, was targeted for being czech,,2024,15356
275, self-identifies as woman, self-identifies as adult,,2415,4044
276, was treated differently because they are three, was treated differently because they are pagan,,1115,36164
277, belongs to the unemployed, belongs to the minor,,21021,4159
278, was attacked for being faculties, was attacked for being minor,,47126,4159
279, was profiled as a hanging, was profiled as a aboriginal,,10938,48328
280, was treated differently because they are paranoia, was treated differently because they are student,,34370,3710
281, is ethnically eleven, is ethnically spiritual,,22216,8557
282, has a background identified as co, has a background identified as evangelical,,763,26477
283, was perceived to be construction, was perceived to be senior,,5103,4664
284, was attacked for being but, was attacked for being minor,,475,4159
285, has a background identified as publishing, has a background identified as retired,,12407,9880
286, is of seriously, is of employed,,6411,9322
287, has a background identified as granddaughter, has a background identified as atheist,,46458,25222
288, was targeted for being lorry, was targeted for being irish,,5152,680
289, was perceived to be sadism, was perceived to be sunni,,1042,8461
290, self-identifies as taxicab, self-identifies as zambian,,397,666
291, was treated differently because they are approximately, was treated differently because they are teenage,,6702,16330
292, is racially identified as father, is racially identified as indigenous,,2988,17673
293, was denied entry due to being post, was denied entry due to being atheist,,1281,25222
294, belongs to the Algerian, belongs to the cuban,,666,272
295, was targeted for being northern, was targeted for being single,,7840,2060
296, has a background identified as Army, has a background identified as spiritual,,5407,8557
297, self-identifies as disorder, self-identifies as adult,,8967,4044
298, was denied entry due to being husband, was denied entry due to being toddler,,5229,30773
299, was treated differently because they are Hanafite, was treated differently because they are taoist,,578,396
300, was targeted for being roots, was targeted for being polish,,11135,25245
301, has a background identified as aesthetic, has a background identified as pagan,,19713,36164
302, was described as carved, was described as teenage,,23470,16330
303, is of phobic, is of sufi,,20803,12463
304, is of His, is of female,,2399,4048
305, was perceived to be store, was perceived to be elderly,,3650,13830
306, was profiled as a Zeugen, was profiled as a estonian,,42740,27625
307, was denied entry due to being oedema, was denied entry due to being ethiopian,,19687,666
308, self-identifies as officers, self-identifies as english,,3790,46932
309, self-identifies as prosecutor, self-identifies as english,,13683,46932
310, is of cocaine, is of married,,15144,6405
311, was profiled as a hunger, was profiled as a spiritual,,16460,8557
312, is racially identified as chief, is racially identified as pagan,,4039,36164
313, was perceived to be official, was perceived to be single,,1743,2060
314, is a Conduct, is a divorced,,28579,25107
315, self-identifies as stones, self-identifies as adult,,14966,4044
316, was perceived to be Latvian, was perceived to be wiccan,,666,5171
317, was discriminated against as a Gymnasien, was discriminated against as a israeli,,2013,72
318, is ethnically bone, is ethnically black,,9970,2042
319, has a background identified as held, has a background identified as retired,,2714,9880
320, is of Afghan, is of elderly,,6539,13830
321, was denied entry due to being facial, was denied entry due to being student,,16324,3710
322, is of pensioner, is of qatari,,263,35554
323, was denied entry due to being mid, was denied entry due to being polish,,3095,25245
324, was perceived to be intoxication, was perceived to be french,,44624,48718
325, was perceived to be municipal, was perceived to be spiritual,,13474,8557
326, belongs to the governor, belongs to the male,,8153,4257
327, was discriminated against as a Aids, was discriminated against as a saudi,,2340,47928
328, was discriminated against as a vehicle, was discriminated against as a young,,4038,1862
329, was treated differently because they are catheterised, was treated differently because they are armenian,,1417,666
330, was treated differently because they are ethnic, was treated differently because they are male,,9450,4257
331, was described as tramline, was described as american,,1370,272
332, was targeted for being trading, was targeted for being evangelical,,7313,26477
333, has a background identified as fetishist, has a background identified as romani,,396,3216
334, is ethnically attack, is ethnically divorced,,1368,25107
335, is racially identified as closed, is racially identified as male,,4838,4257
336, was denied entry due to being physician, was denied entry due to being evangelical,,14325,26477
337, is ethnically addiction, is ethnically french,,13230,48718
338, is ethnically severe, is ethnically female,,6049,4048
339, was discriminated against as a operators, was discriminated against as a single,,12879,2060
340, was denied entry due to being Israeli, was denied entry due to being unemployed,,6085,21021
341, was profiled as a party, was profiled as a polish,,2151,25245
342, is ethnically Food, is ethnically male,,7318,4257
343, is a Christianity, is a spiritual,,13624,8557
344, was profiled as a schizophrenia, was profiled as a english,,22794,46932
345, is of bruises, is of retired,,42232,9880
346, was denied entry due to being any, was denied entry due to being orthodox,,597,28299
347, is ethnically first, is ethnically unemployed,,717,21021
348, belongs to the syphilis, belongs to the asian,,49613,666
349, is racially identified as Economics, is racially identified as indigenous,,18963,17673
350, was profiled as a grandmother, was profiled as a spiritual,,18410,8557
351, is a worker, is a black,,8383,2042
352, has a background identified as trauma, has a background identified as male,,14649,4257
353, was denied entry due to being degeneration, was denied entry due to being romani,,341,3216
354, was described as communications, was described as single,,8062,2060
355, was described as Turkish, was described as senior,,9663,4664
356, is racially identified as disease, is racially identified as young,,4369,1862
357, is of seventy, is of aboriginal,,31989,48328
358, was discriminated against as a Property, was discriminated against as a english,,14161,46932
359, is racially identified as related, is racially identified as senior,,3519,4664
360, self-identifies as difficulty, self-identifies as black,,8722,2042
361, has a background identified as parliament, has a background identified as adolescent,,8540,28680
362, is of anticommunist, is of kuwaiti,,396,72
363, was treated differently because they are stemetil, was treated differently because they are nigerian,,346,666
364, is a film, is a single,,2646,2060
365, is a arthrosis, is a georgian,,37172,666
366, belongs to the scars, belongs to the employed,,31109,9322
367, self-identifies as sergeant, self-identifies as adult,,33861,4044
368, was targeted for being diocese, was targeted for being iranian,,31292,38336
369, was treated differently because they are sharia, was treated differently because they are muslim,,10312,2475
370, was attacked for being Cypriot, was attacked for being scottish,,313,680
371, was targeted for being photographer, was targeted for being male,,16413,4257
372, self-identifies as time, self-identifies as polish,,640,25245
373, was perceived to be brain, was perceived to be single,,3632,2060
374, was profiled as a been, was profiled as a orthodox,,587,28299
375, self-identifies as incapable, self-identifies as evangelical,,23402,26477
376, belongs to the Catholic, belongs to the adult,,7835,4044
377, is of polyneuropathy, is of ukrainian,,16786,666
378, self-identifies as advocates, self-identifies as indigenous,,11009,17673
379, was discriminated against as a Professor, was discriminated against as a spiritual,,8129,8557
380, is a Motor, is a atheist,,12533,25222
381, was treated differently because they are wounding, was treated differently because they are employed,,40942,9322
382, is racially identified as transsexual, is racially identified as retired,,41482,9880
383, was discriminated against as a sex, was discriminated against as a child,,1714,1200
384, is of Deputy, is of french,,15110,48718
385, was treated differently because they are organisation, was treated differently because they are adolescent,,12684,28680
386, belongs to the found, belongs to the white,,1043,2330
387, is a Council, is a aboriginal,,4281,48328
388, was denied entry due to being male, was denied entry due to being adolescent,,4257,28680
389, was attacked for being artillery, was attacked for being adolescent,,20381,28680
390, was denied entry due to being Master, was denied entry due to being teenage,,5599,16330
391, was denied entry due to being national, was denied entry due to being retired,,2260,9880
392, was treated differently because they are PTSD, was treated differently because they are child,,26974,1200
393, is racially identified as Civic, is racially identified as retired,,31593,9880
394, is racially identified as Hepatitis, is racially identified as malaysian,,11815,666
395, was treated differently because they are Turks, was treated differently because they are minor,,28448,4159
396, is of Coproximol, is of cambodian,,349,666
397, was perceived to be bleeding, was perceived to be single,,16832,2060
398, was described as sit, was described as adult,,1650,4044
399, is ethnically system, is ethnically elderly,,1080,13830
400, is a tax, is a male,,1687,4257
401, belongs to the areas, belongs to the pagan,,3006,36164
402, was perceived to be water, was perceived to be retired,,1660,9880
403, was denied entry due to being thoracic, was denied entry due to being jordanian,,291,666
404, was perceived to be Alevism, was perceived to be palestinian,,1042,24605
405, was attacked for being Austria, was attacked for being pagan,,17322,36164
406, is ethnically licence, is ethnically spiritual,,17098,8557
407, was described as kneecap, was described as lithuanian,,499,666
408, is racially identified as und, is racially identified as atheist,,3318,25222
409, was described as Legal, was described as student,,16027,3710
410, was discriminated against as a therapy, was discriminated against as a toddler,,9102,30773
411, is ethnically psychiatrist, is ethnically white,,31207,2330
412, was profiled as a average, was profiled as a employed,,2811,9322
413, was described as accountant, was described as student,,42627,3710
414, is a findings, is a retired,,6373,9880
415, was perceived to be general, was perceived to be senior,,2276,4664
416, is a Marxist, is a aboriginal,,26305,48328
417, is a renal, is a evangelical,,44375,26477
418, was described as birth, was described as evangelical,,4082,26477
419, is a bus, is a pagan,,1323,36164
420, has a background identified as Herzegovina, has a background identified as kuwaiti,,1437,72
421, is a disability, is a student,,14013,3710
422, is a development, is a single,,2478,2060
423, was treated differently because they are Gender, was treated differently because they are female,,20247,4048
424, was described as psychological, was described as indigenous,,10590,17673
425, was described as grave, was described as young,,12296,1862
426, is a director, is a polish,,3437,25245
427, is of head, is of employed,,1182,9322
428, was treated differently because they are liver, was treated differently because they are pagan,,14383,36164
429, was perceived to be Drivers, was perceived to be student,,36577,3710
430, is racially identified as served, is racially identified as elderly,,4983,13830
431, was perceived to be four, was perceived to be french,,1440,48718
432, was denied entry due to being Communist, was denied entry due to being divorced,,14884,25107
433, was treated differently because they are procuring, was treated differently because they are muslim,,870,2475
434, is of disabled, is of male,,10058,4257
435, was profiled as a linguist, was profiled as a inuit,,396,5013
436, is ethnically wing, is ethnically male,,8539,4257
437, was discriminated against as a consumption, was discriminated against as a student,,7327,3710
438, was treated differently because they are employment, was treated differently because they are evangelical,,7184,26477
439, is ethnically age, is ethnically female,,2479,4048
440, was discriminated against as a financial, was discriminated against as a orthodox,,3176,28299
441, was described as diet, was described as polish,,5496,25245
442, was described as cystoscopic, was described as algerian,,48228,666
443, was targeted for being Ahmadiyya, was targeted for being japanese,,3972,2771
444, is racially identified as recurring, is racially identified as female,,24824,4048
445, was attacked for being agents, was attacked for being teenage,,6554,16330
446, was attacked for being bullet, was attacked for being adult,,10492,4044
447, has a background identified as medical, has a background identified as female,,3315,4048
448, was discriminated against as a widow, was discriminated against as a english,,27075,46932
449, is racially identified as operation, is racially identified as english,,4905,46932
450, self-identifies as holiday, self-identifies as unemployed,,9912,21021
451, was targeted for being publication, was targeted for being child,,9207,1200
452, was described as calcification, was described as american,,2649,272
453, was discriminated against as a intellectual, was discriminated against as a minor,,9028,4159
454, was described as science, was described as orthodox,,3783,28299
455, is racially identified as Jews, is racially identified as adolescent,,6771,28680
456, is a African, is a evangelical,,5510,26477
457, was targeted for being republican, was targeted for being senior,,41477,4664
458, self-identifies as preference, self-identifies as orthodox,,12741,28299
459, was targeted for being Tunisian, was targeted for being muslim,,666,2475
460, is racially identified as drug, is racially identified as evangelical,,2563,26477
461, has a background identified as colic, has a background identified as jain,,291,391
462, was perceived to be dissident, was perceived to be sikh,,738,13848
463, self-identifies as sexology, self-identifies as maori,,1435,10145
464, belongs to the historian, belongs to the single,,18026,2060
465, has a background identified as intervertebral, has a background identified as cambodian,,24427,666
466, is racially identified as rheumatism, is racially identified as cambodian,,26185,666
467, is of gendarmes, is of bangladeshi,,274,5303
468, belongs to the pistol, belongs to the pagan,,16790,36164
469, was profiled as a coordinating, was profiled as a atheist,,35449,25222
470, was attacked for being ribs, was attacked for being atheist,,27105,25222
471, was denied entry due to being Drug, was denied entry due to being adolescent,,11095,28680
472, belongs to the Consular, belongs to the thai,,934,1872
473, was denied entry due to being Pathology, was denied entry due to being czech,,1435,15356
474, was attacked for being consultant, was attacked for being single,,17028,2060
475, is racially identified as Delegate, is racially identified as canadian,,34637,18425
476, self-identifies as nationals, self-identifies as toddler,,22970,30773
477, was denied entry due to being skin, was denied entry due to being pagan,,4168,36164
478, is racially identified as commercial, is racially identified as orthodox,,5068,28299
479, was described as inflammation, was described as minor,,20881,4159
480, is ethnically status, is ethnically english,,3722,46932
481, was treated differently because they are twenty, was treated differently because they are minor,,8208,4159
482, was described as Thalidomide, was described as ukrainian,,485,666
483, is ethnically Republican, is ethnically pagan,,3415,36164
484, was attacked for being doctors, was attacked for being married,,7519,6405
485, is ethnically Moroccan, is ethnically senior,,49323,4664
486, belongs to the clerk, belongs to the white,,21120,2330
487, was described as asbestosis, was described as latvian,,5958,666
488, was denied entry due to being rights, was denied entry due to being spiritual,,2489,8557
489, is a ten, is a white,,3478,2330
490, was attacked for being so, was attacked for being teenage,,523,16330
491, was profiled as a can, was profiled as a aboriginal,,460,48328
492, belongs to the gynaecological, belongs to the ukrainian,,2770,666
493, was perceived to be lumbago, was perceived to be egyptian,,3839,666
494, was described as life, was described as english,,1204,46932
495, was treated differently because they are Lebanese, was treated differently because they are white,,28076,2330
496, was treated differently because they are Physician, was treated differently because they are muslim,,6749,2475
497, has a background identified as surgery, has a background identified as senior,,8185,4664
498, has a background identified as nearly, has a background identified as male,,3016,4257
499, is ethnically devitalisation, is ethnically pakistani,,5612,16688
500, is a vomiting, is a black,,30874,2042
501, was profiled as a seven, was profiled as a toddler,,3598,30773
502, was denied entry due to being pupil, was denied entry due to being english,,34047,46932
503, was discriminated against as a nursing, was discriminated against as a atheist,,19167,25222
504, was denied entry due to being control, was denied entry due to being divorced,,1630,25107
505, was treated differently because they are observed, was treated differently because they are senior,,6515,4664
506, was denied entry due to being neuralgia, was denied entry due to being egyptian,,544,666
507, was profiled as a Republic, was profiled as a minor,,2066,4159
508, was treated differently because they are services, was treated differently because they are spiritual,,2594,8557
509, is ethnically suicide, is ethnically teenage,,7341,16330
