,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
74, was discriminated against as a Inspector, was discriminated against as a single,,31881,2014
75, was profiled as a Beamtin, was profiled as a scottish,,31987,763
76, was discriminated against as a Cypriots, was discriminated against as a lithuanian,,1502,757
77, is a terrorists, is a retired,,23689,14373
78, was denied entry due to being infertile, was denied entry due to being turkish,,587,763
79, was described as Tenderness, was described as ethiopian,,1255,757
80, has a background identified as author, has a background identified as polish,,2488,40167
81, has a background identified as or, has a background identified as employed,,390,7091
82, is racially identified as hypertensive, is racially identified as polish,,41039,40167
83, is of Customs, is of employed,,36262,7091
84, was treated differently because they are Mapinduzi, was treated differently because they are nepalese,,74,70
85, was profiled as a directors, was profiled as a evangelical,,17970,49430
86, is a Judge, is a child,,6798,1429
87, was profiled as a Inspektor, was profiled as a zoroastrian,,263,5651
88, was discriminated against as a Palestinian, was discriminated against as a child,,19018,1429
89, was perceived to be Penitentiary, was perceived to be zoroastrian,,7855,5651
90, was treated differently because they are left, was treated differently because they are evangelical,,1669,49430
91, belongs to the Sunnite, belongs to the tanzanian,,614,44316
92, is racially identified as articles, is racially identified as atheist,,7774,48621
93, has a background identified as nose, has a background identified as retired,,11480,14373
94, was profiled as a Commendation, was profiled as a ghanaian,,318,757
95, is racially identified as neighbour, is racially identified as retired,,14646,14373
96, was treated differently because they are Libyan, was treated differently because they are belgian,,8202,15287
97, belongs to the sciatica, belongs to the mormon,,66,251
98, is racially identified as Torridge, is racially identified as bedouin,,16068,44818
99, was discriminated against as a regions, was discriminated against as a retired,,4811,14373
100, is of disk, is of white,,7592,3168
101, belongs to the American, belongs to the young,,2448,2872
102, was profiled as a Cameroonians, was profiled as a nepalese,,2458,70
103, was profiled as a lawyers, was profiled as a polish,,16099,40167
104, is ethnically vision, is ethnically retired,,8113,14373
105, was attacked for being homeless, was attacked for being toddler,,20783,50245
106, was described as centrally, was described as english,,44411,48087
107, was profiled as a dancer, was profiled as a toddler,,42411,50245
108, is racially identified as architect, is racially identified as student,,6805,5974
109, is ethnically heart, is ethnically spiritual,,2798,12435
110, was discriminated against as a Croatian, was discriminated against as a latino,,757,2610
111, was discriminated against as a leg, was discriminated against as a young,,1791,2872
112, was attacked for being cancer, was attacked for being female,,2923,5343
113, was targeted for being English, was targeted for being young,,4383,2872
114, self-identifies as was, self-identifies as child,,369,1429
115, is a women, is a white,,2255,3168
116, is ethnically nine, is ethnically student,,7457,5974
117, was perceived to be Allah, was perceived to be white,,27006,3168
118, was profiled as a substitution, was profiled as a child,,19137,1429
119, has a background identified as relief, has a background identified as black,,6619,2806
120, is racially identified as Minister, is racially identified as senior,,8308,8474
121, was discriminated against as a vegetarian, was discriminated against as a indigenous,,39203,24984
122, was perceived to be sixteen, was perceived to be retired,,25279,14373
123, is ethnically emotional, is ethnically pagan,,8991,47372
124, is racially identified as branch, is racially identified as evangelical,,7789,49430
125, was targeted for being Day, was targeted for being atheist,,6258,48621
126, was denied entry due to being Canadian, was denied entry due to being evangelical,,9462,49430
127, was described as infections, was described as atheist,,10332,48621
128, belongs to the opposite, belongs to the unemployed,,7285,35700
129, has a background identified as prostitute, has a background identified as spanish,,5157,9289
130, is a Dominowo, is a mormon,,80,251
131, self-identifies as Lithuanian, self-identifies as korean,,757,37173
132, was described as controller, was described as english,,9763,48087
133, self-identifies as schools, self-identifies as student,,6629,5974
134, is racially identified as UTI, is racially identified as druze,,15293,2721
135, was attacked for being allergy, was attacked for being adult,,37415,6782
136, was attacked for being Albanians, was attacked for being french,,2458,4099
137, self-identifies as Spanish, self-identifies as retired,,9883,14373
138, was attacked for being of, was attacked for being indigenous,,273,24984
139, is ethnically alive, is ethnically toddler,,9338,50245
140, was treated differently because they are Marinese, was treated differently because they are syrian,,5187,5651
141, has a background identified as Bacterial, has a background identified as catholic,,24097,3422
142, is of building, is of atheist,,3652,48621
143, belongs to the bladder, belongs to the divorced,,18676,32806
144, is a leading, is a student,,4283,5974
145, is a tumour, is a teenage,,18258,29386
146, was treated differently because they are Chief, was treated differently because they are elderly,,9060,13988
147, was described as behaviour, was described as minor,,8770,5884
148, was attacked for being das, was attacked for being employed,,9527,7091
149, is racially identified as commit, is racially identified as spiritual,,4514,12435
150, was profiled as a periarthritis, was profiled as a croatian,,13825,757
151, was treated differently because they are under, was treated differently because they are black,,762,2806
152, was profiled as a planning, was profiled as a teenage,,7219,29386
153, is racially identified as Paracetamol, is racially identified as ecuadorian,,311,757
154, was perceived to be proprietor, was perceived to be presbyterian,,263,49945
155, was targeted for being mother, was targeted for being evangelical,,3101,49430
156, was profiled as a discopathy, was profiled as a korean,,15819,37173
157, self-identifies as seventeen, self-identifies as indigenous,,33395,24984
158, is a did, is a employed,,858,7091
159, was attacked for being by, was attacked for being pagan,,407,47372
160, was targeted for being dislocated, was targeted for being bedouin,,46033,44818
161, is racially identified as tendencies, is racially identified as senior,,37725,8474
162, was perceived to be Agent, was perceived to be child,,21538,1429
163, was attacked for being pedlars, was attacked for being indonesian,,1032,757
164, was profiled as a body, was profiled as a evangelical,,2133,49430
165, was treated differently because they are dependence, was treated differently because they are toddler,,10096,50245
166, is of Cyprus, is of polish,,44637,40167
167, self-identifies as Iraqi, self-identifies as retired,,24923,14373
168, was targeted for being medal, was targeted for being female,,19358,5343
169, was denied entry due to being teaching, was denied entry due to being spiritual,,9551,12435
170, was targeted for being Dutch, was targeted for being polish,,13986,40167
171, was described as mental, was described as polish,,6255,40167
172, was perceived to be free, was perceived to be adult,,1959,6782
173, was attacked for being medicine, was attacked for being child,,9921,1429
174, was attacked for being orientation, was attacked for being adolescent,,11259,28911
175, was described as Serb, was described as berber,,67,589
176, was attacked for being Spaniards, was attacked for being muslim,,2196,2815
177, has a background identified as legs, has a background identified as atheist,,9246,48621
178, was profiled as a celibate, was profiled as a swedish,,366,763
179, has a background identified as turn, has a background identified as retired,,1614,14373
180, is of department, is of indigenous,,7811,24984
181, was perceived to be fishing, was perceived to be pagan,,15133,47372
182, was described as doctor, was described as elderly,,7345,13988
183, was attacked for being vertebra, was attacked for being employed,,39947,7091
184, was profiled as a waiters, was profiled as a druze,,398,2721
185, was profiled as a commissioned, was profiled as a teenage,,26237,29386
186, was attacked for being strike, was attacked for being retired,,9974,14373
187, was described as Kraków, was described as kenyan,,18538,8202
188, was treated differently because they are minor, was treated differently because they are white,,5884,3168
189, was treated differently because they are assistant, was treated differently because they are unemployed,,13372,35700
190, is a entmündigt, is a nepalese,,17496,70
191, self-identifies as servant, self-identifies as retired,,21133,14373
192, was discriminated against as a Hyperactivity, was discriminated against as a latino,,12135,2610
193, is a each, is a single,,1016,2014
194, self-identifies as change, self-identifies as elderly,,1818,13988
195, was discriminated against as a journalists, was discriminated against as a spiritual,,18680,12435
196, was described as aged, was described as pagan,,10652,47372
197, was perceived to be research, was perceived to be english,,2561,48087
198, was targeted for being Good, was targeted for being evangelical,,7088,49430
199, is ethnically President, is ethnically young,,3918,2872
200, self-identifies as partnerships, self-identifies as black,,31734,2806
201, was described as dust, was described as retired,,8660,14373
202, is racially identified as auf, is racially identified as unemployed,,12606,35700
203, was perceived to be Bulgarian, was perceived to be welsh,,757,1200
204, was denied entry due to being tutor, was denied entry due to being teenage,,16304,29386
205, was treated differently because they are local, was treated differently because they are retired,,1980,14373
206, was attacked for being disorders, was attacked for being white,,9360,3168
207, was targeted for being Prüfung, was targeted for being ecuadorian,,1947,757
208, self-identifies as Cracow, self-identifies as melanesian,,319,757
209, self-identifies as wound, self-identifies as retired,,10785,14373
210, was targeted for being employed, was targeted for being polish,,7091,40167
211, was discriminated against as a nineteen, was discriminated against as a spiritual,,42380,12435
212, is a Ministry, is a polish,,13421,40167
213, is of myocardial, is of pagan,,17883,47372
214, has a background identified as dismantled, has a background identified as canadian,,1070,7577
215, was discriminated against as a prostitution, was discriminated against as a english,,43881,48087
216, is ethnically Commune, is ethnically baptist,,70,382
217, has a background identified as lieutenant, has a background identified as retired,,32386,14373
218, was targeted for being owner, was targeted for being adult,,7302,6782
219, is ethnically invalid, is ethnically black,,12078,2806
220, is racially identified as imam, is racially identified as danish,,312,9289
221, belongs to the Sunni, belongs to the young,,45409,2872
222, has a background identified as literature, has a background identified as young,,6239,2872
223, was denied entry due to being retired, was denied entry due to being pagan,,14373,47372
224, is racially identified as men, is racially identified as divorced,,1821,32806
225, is ethnically activities, is ethnically retired,,4712,14373
226, was attacked for being Christian, was attacked for being atheist,,6416,48621
227, is racially identified as restorer, is racially identified as cuban,,14071,266
228, was discriminated against as a from, was discriminated against as a adult,,432,6782
229, is a museum, is a single,,16064,2014
230, was discriminated against as a ear, was discriminated against as a female,,2472,5343
231, is of fellow, is of minor,,7715,5884
232, was targeted for being Bosnia, was targeted for being black,,46795,2806
233, belongs to the intervention, belongs to the single,,7268,2014
234, was targeted for being Federal, was targeted for being evangelical,,7671,49430
235, self-identifies as occupation, self-identifies as minor,,17238,5884
236, has a background identified as Medical, has a background identified as adolescent,,8710,28911
237, was denied entry due to being syndrome, was denied entry due to being teenage,,9237,29386
238, belongs to the Land, belongs to the retired,,8565,14373
239, was treated differently because they are seminary, was treated differently because they are swiss,,2767,739
240, self-identifies as Probe, self-identifies as jewish,,1257,763
241, was attacked for being Sufis, was attacked for being jordanian,,261,757
242, is ethnically coloured, is ethnically male,,37220,5086
243, was profiled as a tibia, was profiled as a aboriginal,,571,19164
244, was perceived to be palsy, was perceived to be swiss,,90,739
245, was described as broker, was described as divorced,,23497,32806
246, was discriminated against as a injury, was discriminated against as a male,,4975,5086
247, belongs to the hyperaemic, belongs to the qatari,,11060,1792
248, has a background identified as Under, has a background identified as english,,6166,48087
249, was perceived to be Law, was perceived to be senior,,5405,8474
250, is ethnically arterial, is ethnically student,,18571,5974
251, was targeted for being arm, was targeted for being single,,4430,2014
252, belongs to the Ukrainian, belongs to the toddler,,27485,50245
253, was discriminated against as a principal, was discriminated against as a child,,8624,1429
254, is a ulcer, is a elderly,,27622,13988
255, is a Appeal, is a spiritual,,19160,12435
256, has a background identified as personnel, has a background identified as unemployed,,11570,35700
257, was denied entry due to being problems, was denied entry due to being toddler,,3237,50245
258, is racially identified as restaurant, is racially identified as male,,10301,5086
259, is ethnically brother, is ethnically retired,,4929,14373
260, self-identifies as coagulation, self-identifies as student,,35881,5974
261, was treated differently because they are Isaaq, was treated differently because they are turkish,,82,763
262, is of British, is of polish,,4782,40167
263, is of leader, is of white,,6657,3168
264, belongs to the paranoid, belongs to the adolescent,,46197,28911
265, was denied entry due to being illiterate, was denied entry due to being sikh,,48532,20323
266, is a museitekniker, is a ecuadorian,,24736,757
267, is a Wrocław, is a zoroastrian,,1403,5651
268, self-identifies as Portuguese, self-identifies as polish,,26467,40167
269, was denied entry due to being wife, was denied entry due to being adolescent,,4475,28911
270, has a background identified as Chechen, has a background identified as jewish,,5756,763
271, self-identifies as manager, self-identifies as minor,,7205,5884
272, was profiled as a bruise, was profiled as a baptist,,885,382
273, was perceived to be limbs, was perceived to be spiritual,,24601,12435
274, was denied entry due to being liquidators, was denied entry due to being jewish,,2392,763
275, is a woman, is a pagan,,3416,47372
276, was profiled as a three, was profiled as a teenage,,1264,29386
277, was described as unemployed, was described as young,,35700,2872
278, was discriminated against as a faculties, was discriminated against as a caucasian,,447,27933
279, was attacked for being hanging, was attacked for being unemployed,,14203,35700
280, is racially identified as paranoia, is racially identified as iraqi,,571,74
281, was described as eleven, was described as retired,,19525,14373
282, was treated differently because they are co, was treated differently because they are white,,820,3168
283, was attacked for being construction, was attacked for being teenage,,5140,29386
284, is ethnically but, is ethnically married,,533,7028
285, was targeted for being publishing, was targeted for being elderly,,18051,13988
286, is of seriously, is of english,,10369,48087
287, was described as granddaughter, was described as estonian,,33475,33286
288, belongs to the lorry, belongs to the cuban,,5163,266
289, was perceived to be sadism, was perceived to be spanish,,1204,9289
290, was attacked for being taxicab, was attacked for being peruvian,,357,757
291, was discriminated against as a approximately, was discriminated against as a child,,5512,1429
292, was denied entry due to being father, was denied entry due to being elderly,,3392,13988
293, is a post, is a indigenous,,1501,24984
294, was described as Algerian, was described as chinese,,757,5187
295, self-identifies as northern, self-identifies as female,,11186,5343
296, was denied entry due to being Army, was denied entry due to being young,,8663,2872
297, belongs to the disorder, belongs to the male,,8984,5086
298, was denied entry due to being husband, was denied entry due to being pagan,,5938,47372
299, has a background identified as Hanafite, has a background identified as brazilian,,614,757
300, has a background identified as roots, has a background identified as retired,,11465,14373
301, was described as aesthetic, was described as married,,24624,7028
302, was profiled as a carved, was profiled as a divorced,,27251,32806
303, was treated differently because they are phobic, was treated differently because they are irish,,12789,763
304, was targeted for being His, was targeted for being senior,,3032,8474
305, is ethnically store, is ethnically english,,4657,48087
306, was treated differently because they are Zeugen, was treated differently because they are christian,,47306,757
307, was profiled as a oedema, was profiled as a jordanian,,8895,757
308, was described as officers, was described as child,,6251,1429
309, was profiled as a prosecutor, was profiled as a adult,,15303,6782
310, self-identifies as cocaine, self-identifies as child,,16394,1429
311, was perceived to be hunger, was perceived to be spiritual,,23635,12435
312, is a chief, is a female,,7015,5343
313, self-identifies as official, self-identifies as teenage,,3565,29386
314, is a Conduct, is a pagan,,36052,47372
315, was profiled as a stones, was profiled as a polish,,17380,40167
316, is racially identified as Latvian, is racially identified as paraguayan,,757,26782
317, was described as Gymnasien, was described as bolivian,,1914,757
318, was profiled as a bone, was profiled as a teenage,,5961,29386
319, belongs to the held, belongs to the retired,,2918,14373
320, belongs to the Afghan, belongs to the female,,13376,5343
321, is racially identified as facial, is racially identified as young,,17754,2872
322, is ethnically pensioner, is ethnically inuit,,254,2338
323, was described as mid, was described as atheist,,4260,48621
324, was attacked for being Lebenszeit, was attacked for being zoroastrian,,43964,5651
325, has a background identified as intoxication, has a background identified as married,,43717,7028
326, was attacked for being municipal, was attacked for being adult,,21209,6782
327, was described as governor, was described as adolescent,,14176,28911
328, self-identifies as Aids, self-identifies as greek,,2352,7209
329, is racially identified as vehicle, is racially identified as white,,4958,3168
330, is ethnically catheterised, is ethnically shinto,,1701,14806
331, self-identifies as ethnic, self-identifies as adolescent,,16175,28911
332, was perceived to be tramline, was perceived to be asian,,1282,757
333, is ethnically trading, is ethnically atheist,,11947,48621
334, was described as fetishist, was described as uruguayan,,382,26782
335, was targeted for being attack, was targeted for being polish,,2983,40167
336, is ethnically closed, is ethnically child,,4581,1429
337, belongs to the physician, belongs to the unemployed,,12878,35700
338, is ethnically addiction, is ethnically adolescent,,22103,28911
339, is ethnically severe, is ethnically elderly,,5460,13988
340, belongs to the hysterectomy, belongs to the hispanic,,32758,19239
341, belongs to the operators, belongs to the divorced,,9158,32806
342, was targeted for being Israeli, was targeted for being adult,,13389,6782
343, is a party, is a child,,3128,1429
344, was treated differently because they are Food, was treated differently because they are married,,11431,7028
345, has a background identified as Christianity, has a background identified as white,,20242,3168
346, was discriminated against as a schizophrenia, was discriminated against as a teenage,,24532,29386
347, belongs to the bruises, belongs to the jewish,,3013,763
348, self-identifies as any, self-identifies as english,,667,48087
349, was perceived to be first, was perceived to be atheist,,806,48621
350, was perceived to be syphilis, was perceived to be bahai,,27154,2284
351, self-identifies as Economics, self-identifies as senior,,31015,8474
352, has a background identified as grandmother, has a background identified as adult,,20606,6782
353, is of worker, is of pagan,,12954,47372
354, was discriminated against as a trauma, was discriminated against as a english,,14977,48087
355, is racially identified as degeneration, is racially identified as pagan,,27939,47372
356, was discriminated against as a communications, was discriminated against as a retired,,10924,14373
357, was targeted for being Turkish, was targeted for being senior,,18416,8474
358, was profiled as a disease, was profiled as a indigenous,,2728,24984
359, is of seventy, is of minor,,28089,5884
360, was treated differently because they are Property, was treated differently because they are elderly,,15347,13988
361, is a related, is a indigenous,,2905,24984
362, is ethnically difficulty, is ethnically teenage,,10183,29386
363, self-identifies as parliament, self-identifies as student,,16005,5974
364, is of anticommunist, is of bangladeshi,,382,5801
365, was denied entry due to being stemetil, was denied entry due to being armenian,,300,757
366, is of film, is of english,,3085,48087
367, was discriminated against as a bronchopulmonary, was discriminated against as a palestinian,,35534,34923
368, was attacked for being arthrosis, was attacked for being thai,,11503,2284
369, is a scars, is a adolescent,,38763,28911
370, was profiled as a sergeant, was profiled as a employed,,38798,7091
371, is racially identified as diocese, is racially identified as american,,32143,266
372, was profiled as a sharia, was profiled as a dominican,,8125,9593
373, was discriminated against as a Cypriot, was discriminated against as a hungarian,,49851,6656
374, was described as photographer, was described as adolescent,,24996,28911
375, was profiled as a time, was profiled as a adult,,673,6782
376, was treated differently because they are brain, was treated differently because they are single,,3998,2014
377, was perceived to be been, was perceived to be student,,644,5974
378, was described as incapable, was described as divorced,,31257,32806
379, is a Catholic, is a spiritual,,10503,12435
380, was treated differently because they are polyneuropathy, was treated differently because they are nepalese,,7822,70
381, was perceived to be advocates, was perceived to be senior,,23318,8474
382, was described as Professor, was described as teenage,,12734,29386
383, was treated differently because they are Motor, was treated differently because they are adolescent,,18521,28911
384, was profiled as a wounding, was profiled as a indian,,272,757
385, was targeted for being transsexual, was targeted for being italian,,32813,6770
386, self-identifies as sex, self-identifies as toddler,,2825,50245
387, is a Deputy, is a young,,19897,2872
388, is ethnically organisation, is ethnically student,,19156,5974
389, is racially identified as found, is racially identified as adolescent,,1119,28911
390, was discriminated against as a Council, was discriminated against as a retired,,6456,14373
391, has a background identified as male, has a background identified as child,,5086,1429
392, was denied entry due to being artillery, was denied entry due to being senior,,29923,8474
393, self-identifies as Master, self-identifies as pagan,,10718,47372
394, is ethnically national, is ethnically indigenous,,3872,24984
395, has a background identified as PTSD, has a background identified as adolescent,,33649,28911
396, was targeted for being Civic, was targeted for being canadian,,280,7577
397, is racially identified as Hepatitis, is racially identified as canadian,,42563,7577
398, is of Turks, is of divorced,,47563,32806
399, belongs to the Coproximol, belongs to the ecuadorian,,311,757
400, was denied entry due to being bleeding, was denied entry due to being young,,14771,2872
401, was attacked for being sit, was attacked for being unemployed,,1790,35700
402, was discriminated against as a system, was discriminated against as a teenage,,985,29386
403, was profiled as a tax, was profiled as a polish,,2891,40167
404, is a areas, is a polish,,3672,40167
405, was attacked for being water, was attacked for being black,,1824,2806
406, is ethnically thoracic, is ethnically evangelical,,33288,49430
407, has a background identified as Alevism, has a background identified as kuwaiti,,1204,74
408, has a background identified as Austria, has a background identified as pagan,,21753,47372
409, was denied entry due to being licence, was denied entry due to being adult,,35683,6782
410, is of kneecap, is of egyptian,,522,757
411, was perceived to be und, was perceived to be spiritual,,3807,12435
412, was attacked for being Legal, was attacked for being unemployed,,24547,35700
413, was described as therapy, was described as spiritual,,4918,12435
414, has a background identified as psychiatrist, has a background identified as young,,39738,2872
415, was perceived to be average, was perceived to be polish,,3388,40167
416, is racially identified as accountant, is racially identified as student,,49174,5974
417, was described as findings, was described as child,,4342,1429
418, was profiled as a general, was profiled as a employed,,2087,7091
419, is a Marxist, is a adult,,48641,6782
420, was discriminated against as a renal, was discriminated against as a divorced,,10919,32806
421, was described as birth, was described as toddler,,4201,50245
422, is racially identified as bus, is racially identified as single,,1685,2014
423, was attacked for being Herzegovina, was attacked for being bangladeshi,,1758,5801
424, has a background identified as disability, has a background identified as spiritual,,12564,12435
425, was profiled as a development, was profiled as a minor,,2440,5884
426, was treated differently because they are Gender, was treated differently because they are white,,33849,3168
427, was profiled as a psychological, was profiled as a employed,,12264,7091
428, belongs to the grave, belongs to the female,,16102,5343
429, was denied entry due to being director, was denied entry due to being spiritual,,6423,12435
430, belongs to the head, belongs to the divorced,,1481,32806
431, is of liver, is of elderly,,6728,13988
432, belongs to the Drivers, belongs to the jain,,31785,404
433, is ethnically served, is ethnically english,,5608,48087
434, was perceived to be four, was perceived to be male,,1740,5086
435, self-identifies as Communist, self-identifies as student,,22356,5974
436, was treated differently because they are procuring, was treated differently because they are serbian,,981,13564
437, was described as disabled, was described as senior,,13603,8474
438, is racially identified as linguist, is racially identified as baptist,,382,382
439, belongs to the wing, belongs to the divorced,,12916,32806
440, self-identifies as consumption, self-identifies as married,,8353,7028
441, has a background identified as employment, has a background identified as elderly,,8410,13988
442, was discriminated against as a age, was discriminated against as a senior,,2363,8474
443, self-identifies as financial, self-identifies as adult,,4832,6782
444, was perceived to be diet, was perceived to be child,,6196,1429
445, was targeted for being cystoscopic, was targeted for being irish,,15297,763
446, belongs to the recurring, belongs to the young,,36108,2872
447, was targeted for being agents, was targeted for being single,,6083,2014
448, is a bullet, is a divorced,,16950,32806
449, was targeted for being medical, was targeted for being atheist,,3739,48621
450, was treated differently because they are widow, was treated differently because they are adolescent,,28137,28911
451, was denied entry due to being operation, was denied entry due to being spiritual,,4254,12435
452, belongs to the holiday, belongs to the unemployed,,13319,35700
453, was targeted for being publication, was targeted for being white,,9311,3168
454, was denied entry due to being calcification, was denied entry due to being maori,,1877,8885
455, is ethnically intellectual, is ethnically teenage,,12720,29386
456, was treated differently because they are science, was treated differently because they are unemployed,,5859,35700
457, is ethnically Jews, is ethnically retired,,11563,14373
458, was treated differently because they are African, was treated differently because they are child,,8118,1429
459, self-identifies as republican, self-identifies as syrian,,266,5651
460, was treated differently because they are preference, was treated differently because they are married,,14682,7028
461, self-identifies as Tunisian, self-identifies as mormon,,757,251
462, was targeted for being drug, was targeted for being elderly,,2854,13988
463, has a background identified as colic, has a background identified as sikh,,280,20323
464, was attacked for being dissident, was attacked for being baptist,,888,382
465, was profiled as a sexology, was profiled as a irish,,1497,763
466, has a background identified as historian, has a background identified as toddler,,24072,50245
467, is ethnically intervertebral, is ethnically chilean,,11887,266
468, was treated differently because they are rheumatism, was treated differently because they are baptist,,1204,382
469, is of gendarmes, is of ecuadorian,,265,757
470, was described as pistol, was described as retired,,25288,14373
471, is of coordinating, is of indigenous,,45415,24984
472, is racially identified as ribs, is racially identified as young,,28061,2872
473, is racially identified as Drug, is racially identified as polish,,16686,40167
474, self-identifies as Consular, self-identifies as shinto,,792,14806
475, belongs to the Pathology, belongs to the serbian,,1497,13564
476, was profiled as a consultant, was profiled as a spiritual,,24773,12435
477, was described as Delegate, was described as jain,,17674,404
478, was treated differently because they are nationals, was treated differently because they are spiritual,,47912,12435
479, belongs to the skin, belongs to the married,,4808,7028
480, is of commercial, is of pagan,,6264,47372
481, was profiled as a inflammation, was profiled as a female,,10696,5343
482, is racially identified as status, is racially identified as elderly,,3708,13988
483, is of twenty, is of adult,,6818,6782
484, was denied entry due to being Republican, was denied entry due to being pagan,,8786,47372
485, is ethnically doctors, is ethnically english,,11576,48087
486, was treated differently because they are Moroccan, was treated differently because they are british,,5092,763
487, was treated differently because they are clerk, was treated differently because they are spiritual,,21334,12435
488, self-identifies as asbestosis, self-identifies as lebanese,,2433,3248
489, is racially identified as rights, is racially identified as evangelical,,3570,49430
490, has a background identified as ten, has a background identified as divorced,,3578,32806
491, was targeted for being so, was targeted for being evangelical,,594,49430
492, is ethnically can, is ethnically atheist,,476,48621
493, was attacked for being gynaecological, was attacked for being ecuadorian,,1975,757
494, is ethnically lumbago, is ethnically moroccan,,5477,5092
495, was described as life, was described as adolescent,,1495,28911
496, was described as Lebanese, was described as english,,46900,48087
497, is ethnically Physician, is ethnically hungarian,,6876,6656
498, is racially identified as surgery, is racially identified as teenage,,5869,29386
499, was targeted for being nearly, was targeted for being divorced,,4829,32806
500, was profiled as a devitalisation, was profiled as a armenian,,5837,757
501, was treated differently because they are vomiting, was treated differently because they are minor,,33510,5884
502, belongs to the seven, belongs to the teenage,,5093,29386
503, has a background identified as pupil, has a background identified as toddler,,35048,50245
504, was discriminated against as a nursing, was discriminated against as a male,,15929,5086
505, was perceived to be control, was perceived to be toddler,,1453,50245
506, was denied entry due to being observed, was denied entry due to being spiritual,,2540,12435
507, is ethnically neuralgia, is ethnically saudi,,45795,36460
508, is of Republic, is of white,,4687,3168
